question,tag,shopid,brand,cid3,sku,answer,cat1,cat2,profession,source
静音吗,外机声音,,美的,空调,,噪音：美的挂机静音18分贝，柜机22分贝（变频），23分贝（定频）,,,,silicon_valley
静音的吗,外机声音,,美的,空调,,噪音：美的挂机静音18分贝，柜机22分贝（变频），23分贝（定频）,,,,silicon_valley
多少分贝噪音,外机声音,,美的,空调,,噪音：美的挂机静音18分贝，柜机22分贝（变频），23分贝（定频）,,,,silicon_valley
噪音大吗,外机声音,,美的,空调,,噪音：美的挂机静音18分贝，柜机22分贝（变频），23分贝（定频）,,,,silicon_valley
噪音呢,外机声音,,美的,空调,,噪音：美的挂机静音18分贝，柜机22分贝（变频），23分贝（定频）,,,,silicon_valley
噪音都是一样的,外机声音,,美的,空调,,噪音：美的挂机静音18分贝，柜机22分贝（变频），23分贝（定频）,,,,silicon_valley
噪音怎样,外机声音,,美的,空调,,噪音：美的挂机静音18分贝，柜机22分贝（变频），23分贝（定频）,,,,silicon_valley
那他的噪音大吗,外机声音,,美的,空调,,噪音：美的挂机静音18分贝，柜机22分贝（变频），23分贝（定频）,,,,silicon_valley
什么时候能到货,Other,,美的,空调,,"京东商城是自有物流的,只要您成功下单后,京东物流会尽快给您安排的,正常1-2天就可以到货的,县级或乡镇需要3-5天!具体详情也可查看订单的到货时间说明以实际到货为准哦。麻烦您耐心等待下。",,,,silicon_valley
沈阳 多久能到货,Other,,美的,空调,,"京东商城是自有物流的,只要您成功下单后,京东物流会尽快给您安排的,正常1-2天就可以到货的,县级或乡镇需要3-5天!具体详情也可查看订单的到货时间说明以实际到货为准哦。麻烦您耐心等待下。",,,,silicon_valley
现在购买的话什么时候能到货安装,Other,,美的,空调,,"京东商城是自有物流的,只要您成功下单后,京东物流会尽快给您安排的,正常1-2天就可以到货的,县级或乡镇需要3-5天!具体详情也可查看订单的到货时间说明以实际到货为准哦。麻烦您耐心等待下。",,,,silicon_valley
全直流和普通变频空调的优势对比,全直流,,美的,空调,,全直流是目前空调最高端的变频技术，压缩机、室内外电机三大部件全部采用直流变频配置，利用直流先天优势配合最先进全直流精控系统，形成在舒适、节能、静音方面行业绝对领先水平的技术。,,,,silicon_valley
那就是免费安装的吗,安装收费标准,,美的,空调,,安装是否收费看您的实际安装环境，新机普通安装是免费的，殊环境高空作业加长铜管外机支架等是需要收费的，请查看详细收费标准：http://help.jd.com/o/help/question-1018.html#help2630,,,,silicon_valley
定频和变频有区别吗,变频,,美的,空调,,变频、定频耗电区别：变频1、变频的长时间使用比定频的省电10%—25%左右呢~变频2：当然除了节能，变频更加静音，10分钟快速制冷制热，运行稳定减少忽冷忽热，寿命更长哦~~,,,,silicon_valley
明天到货 可以明天安装吗,到货安装,,美的,空调,,一般是第一天到货第二天安装的，配送和安装是两拨人的~,,,,silicon_valley
怎么退货,退货,,美的,空调,,在您的订单里申请退款即可,,,,silicon_valley
大一匹的什么时候有货,1.5p何时,,美的,空调,,实在抱歉，由京东仓库直接供应，暂没有接到具体到货时间，您要是不着急使用，可以点产品页面中“到货通知”到货后会经过短信通知您的呢,,,,silicon_valley
不知道什么时候有货,1.5p何时,,美的,空调,,实在抱歉，由京东仓库直接供应，暂没有接到具体到货时间，您要是不着急使用，可以点产品页面中“到货通知”到货后会经过短信通知您的呢,,,,silicon_valley
亲什么时候才有货,1.5p何时,,美的,空调,,实在抱歉，由京东仓库直接供应，暂没有接到具体到货时间，您要是不着急使用，可以点产品页面中“到货通知”到货后会经过短信通知您的呢,,,,silicon_valley
那什么时候会有货呀,1.5p何时,,美的,空调,,实在抱歉，由京东仓库直接供应，暂没有接到具体到货时间，您要是不着急使用，可以点产品页面中“到货通知”到货后会经过短信通知您的呢,,,,silicon_valley
大概什么时候能有货,1.5p何时,,美的,空调,,实在抱歉，由京东仓库直接供应，暂没有接到具体到货时间，您要是不着急使用，可以点产品页面中“到货通知”到货后会经过短信通知您的呢,,,,silicon_valley
知道什么时候有货吗,1.5p何时,,美的,空调,,实在抱歉，由京东仓库直接供应，暂没有接到具体到货时间，您要是不着急使用，可以点产品页面中“到货通知”到货后会经过短信通知您的呢,,,,silicon_valley
没有货什么时候有,1.5p何时,,美的,空调,,实在抱歉，由京东仓库直接供应，暂没有接到具体到货时间，您要是不着急使用，可以点产品页面中“到货通知”到货后会经过短信通知您的呢,,,,silicon_valley
啥时候会有货啊,1.5p何时,,美的,空调,,实在抱歉，由京东仓库直接供应，暂没有接到具体到货时间，您要是不着急使用，可以点产品页面中“到货通知”到货后会经过短信通知您的呢,,,,silicon_valley
现在是没有货,1.5p何时,,美的,空调,,实在抱歉，由京东仓库直接供应，暂没有接到具体到货时间，您要是不着急使用，可以点产品页面中“到货通知”到货后会经过短信通知您的呢,,,,silicon_valley
还没有货吗,1.5p何时,,美的,空调,,实在抱歉，由京东仓库直接供应，暂没有接到具体到货时间，您要是不着急使用，可以点产品页面中“到货通知”到货后会经过短信通知您的呢,,,,silicon_valley
那我等有货吧,1.5p何时,,美的,空调,,实在抱歉，由京东仓库直接供应，暂没有接到具体到货时间，您要是不着急使用，可以点产品页面中“到货通知”到货后会经过短信通知您的呢,,,,silicon_valley
啥时候才有货,1.5p何时,,美的,空调,,实在抱歉，由京东仓库直接供应，暂没有接到具体到货时间，您要是不着急使用，可以点产品页面中“到货通知”到货后会经过短信通知您的呢,,,,silicon_valley
没有货吗,1.5p何时,,美的,空调,,实在抱歉，由京东仓库直接供应，暂没有接到具体到货时间，您要是不着急使用，可以点产品页面中“到货通知”到货后会经过短信通知您的呢,,,,silicon_valley
又没货了,1.5p何时,,美的,空调,,实在抱歉，由京东仓库直接供应，暂没有接到具体到货时间，您要是不着急使用，可以点产品页面中“到货通知”到货后会经过短信通知您的呢,,,,silicon_valley
没货就,1.5p何时,,美的,空调,,实在抱歉，由京东仓库直接供应，暂没有接到具体到货时间，您要是不着急使用，可以点产品页面中“到货通知”到货后会经过短信通知您的呢,,,,silicon_valley
现在没货呀,1.5p何时,,美的,空调,,实在抱歉，由京东仓库直接供应，暂没有接到具体到货时间，您要是不着急使用，可以点产品页面中“到货通知”到货后会经过短信通知您的呢,,,,silicon_valley
1.5那个能不能确定什么时候有货,1.5p何时,,美的,空调,,实在抱歉，由京东仓库直接供应，暂没有接到具体到货时间，您要是不着急使用，可以点产品页面中“到货通知”到货后会经过短信通知您的呢,,,,silicon_valley
为什么旗舰店有货 你们却没货呢,1.5p何时,,美的,空调,,实在抱歉，由京东仓库直接供应，暂没有接到具体到货时间，您要是不着急使用，可以点产品页面中“到货通知”到货后会经过短信通知您的呢,,,,silicon_valley
但是绍兴没货,1.5p何时,,美的,空调,,实在抱歉，由京东仓库直接供应，暂没有接到具体到货时间，您要是不着急使用，可以点产品页面中“到货通知”到货后会经过短信通知您的呢,,,,silicon_valley
新款没货了吗,1.5p何时,,美的,空调,,实在抱歉，由京东仓库直接供应，暂没有接到具体到货时间，您要是不着急使用，可以点产品页面中“到货通知”到货后会经过短信通知您的呢,,,,silicon_valley
大概几天有货呢,1.5p何时,,美的,空调,,实在抱歉，由京东仓库直接供应，暂没有接到具体到货时间，您要是不着急使用，可以点产品页面中“到货通知”到货后会经过短信通知您的呢,,,,silicon_valley
想知道会不会有货呢,1.5p何时,,美的,空调,,实在抱歉，由京东仓库直接供应，暂没有接到具体到货时间，您要是不着急使用，可以点产品页面中“到货通知”到货后会经过短信通知您的呢,,,,silicon_valley
明天会有货没,1.5p何时,,美的,空调,,实在抱歉，由京东仓库直接供应，暂没有接到具体到货时间，您要是不着急使用，可以点产品页面中“到货通知”到货后会经过短信通知您的呢,,,,silicon_valley
能以旧换新,旧机能机能回收,,美的,空调,,以旧换新，先创建回收单 ，然后再下单购买新机，下单成功后，点我的订单，在左侧有一个我的回收单，点关联就可以了哦,,,,silicon_valley
我的旧空调怎么依旧换新,旧机能机能回收,,美的,空调,,以旧换新，先创建回收单 ，然后再下单购买新机，下单成功后，点我的订单，在左侧有一个我的回收单，点关联就可以了哦,,,,silicon_valley
在哪里提以旧换新啊,旧机能机能回收,,美的,空调,,以旧换新，先创建回收单 ，然后再下单购买新机，下单成功后，点我的订单，在左侧有一个我的回收单，点关联就可以了哦,,,,silicon_valley
是否可以以旧换新,旧机能机能回收,,美的,空调,,以旧换新，先创建回收单 ，然后再下单购买新机，下单成功后，点我的订单，在左侧有一个我的回收单，点关联就可以了哦,,,,silicon_valley
怎么申请以旧换新哦,旧机能机能回收,,美的,空调,,以旧换新，先创建回收单 ，然后再下单购买新机，下单成功后，点我的订单，在左侧有一个我的回收单，点关联就可以了哦,,,,silicon_valley
家里有旧空调 以旧换新怎么操作,旧机能机能回收,,美的,空调,,以旧换新，先创建回收单 ，然后再下单购买新机，下单成功后，点我的订单，在左侧有一个我的回收单，点关联就可以了哦,,,,silicon_valley
旧空调怎么办,旧机能机能回收,,美的,空调,,以旧换新，先创建回收单 ，然后再下单购买新机，下单成功后，点我的订单，在左侧有一个我的回收单，点关联就可以了哦,,,,silicon_valley
以旧换新怎么操作呢,旧机能机能回收,,美的,空调,,以旧换新，先创建回收单 ，然后再下单购买新机，下单成功后，点我的订单，在左侧有一个我的回收单，点关联就可以了哦,,,,silicon_valley
选自动申请回收还是自行前往新空调订单回收,旧机能机能回收,,美的,空调,,以旧换新，先创建回收单 ，然后再下单购买新机，下单成功后，点我的订单，在左侧有一个我的回收单，点关联就可以了哦,,,,silicon_valley
我有旧的空调要回收,旧机能机能回收,,美的,空调,,以旧换新，先创建回收单 ，然后再下单购买新机，下单成功后，点我的订单，在左侧有一个我的回收单，点关联就可以了哦,,,,silicon_valley
还有旧空调回收吗,旧机能机能回收,,美的,空调,,以旧换新，先创建回收单 ，然后再下单购买新机，下单成功后，点我的订单，在左侧有一个我的回收单，点关联就可以了哦,,,,silicon_valley
另外 原来的空调回收吗,旧机能机能回收,,美的,空调,,以旧换新，先创建回收单 ，然后再下单购买新机，下单成功后，点我的订单，在左侧有一个我的回收单，点关联就可以了哦,,,,silicon_valley
请问旧空调回收如何操作,旧机能机能回收,,美的,空调,,以旧换新，先创建回收单 ，然后再下单购买新机，下单成功后，点我的订单，在左侧有一个我的回收单，点关联就可以了哦,,,,silicon_valley
请问你们旧空调可以回收吗,旧机能机能回收,,美的,空调,,以旧换新，先创建回收单 ，然后再下单购买新机，下单成功后，点我的订单，在左侧有一个我的回收单，点关联就可以了哦,,,,silicon_valley
怎么回收,旧机能机能回收,,美的,空调,,以旧换新，先创建回收单 ，然后再下单购买新机，下单成功后，点我的订单，在左侧有一个我的回收单，点关联就可以了哦,,,,silicon_valley
旧机器回收 怎么前往新订单回收啊,旧机能机能回收,,美的,空调,,以旧换新，先创建回收单 ，然后再下单购买新机，下单成功后，点我的订单，在左侧有一个我的回收单，点关联就可以了哦,,,,silicon_valley
旧机器回收后 才能买新的,旧机能机能回收,,美的,空调,,以旧换新，先创建回收单 ，然后再下单购买新机，下单成功后，点我的订单，在左侧有一个我的回收单，点关联就可以了哦,,,,silicon_valley
刚才买了一台美的空调 2299元的 可以依旧换新哪 家里有台旧的美的空调 我刚才付款时 没有操作依旧换新的步骤 现在怎么办,旧机能机能回收,,美的,空调,,以旧换新，先创建回收单 ，然后再下单购买新机，下单成功后，点我的订单，在左侧有一个我的回收单，点关联就可以了哦,,,,silicon_valley
我旧机能回收吗,旧机能机能回收,,美的,空调,,以旧换新，先创建回收单 ，然后再下单购买新机，下单成功后，点我的订单，在左侧有一个我的回收单，点关联就可以了哦,,,,silicon_valley
可是我买了你们的空调 申请的依旧换新,旧机能机能回收,,美的,空调,,以旧换新，先创建回收单 ，然后再下单购买新机，下单成功后，点我的订单，在左侧有一个我的回收单，点关联就可以了哦,,,,silicon_valley
怎么防直吹,Other,,美的,空调,,防直吹：一键开启防直吹后，自动调节风速、频率、导风角度，防止冷/热风直吹人；创新的出风口切角设计，相对普通挂机，防直吹效果更好~,,,,silicon_valley
防直吹是什么意思呢,Other,,美的,空调,,防直吹：一键开启防直吹后，自动调节风速、频率、导风角度，防止冷/热风直吹人；创新的出风口切角设计，相对普通挂机，防直吹效果更好~,,,,silicon_valley
防直吹怎么实现,Other,,美的,空调,,防直吹：一键开启防直吹后，自动调节风速、频率、导风角度，防止冷/热风直吹人；创新的出风口切角设计，相对普通挂机，防直吹效果更好~,,,,silicon_valley
一键防直吹是什么意思呢,Other,,美的,空调,,防直吹：一键开启防直吹后，自动调节风速、频率、导风角度，防止冷/热风直吹人；创新的出风口切角设计，相对普通挂机，防直吹效果更好~,,,,silicon_valley
防直吹是怎么用,Other,,美的,空调,,防直吹：一键开启防直吹后，自动调节风速、频率、导风角度，防止冷/热风直吹人；创新的出风口切角设计，相对普通挂机，防直吹效果更好~,,,,silicon_valley
防直吹是指的是风向不对着人吹吗,Other,,美的,空调,,防直吹：一键开启防直吹后，自动调节风速、频率、导风角度，防止冷/热风直吹人；创新的出风口切角设计，相对普通挂机，防直吹效果更好~,,,,silicon_valley
一键防直吹 是什么意思,Other,,美的,空调,,防直吹：一键开启防直吹后，自动调节风速、频率、导风角度，防止冷/热风直吹人；创新的出风口切角设计，相对普通挂机，防直吹效果更好~,,,,silicon_valley
防直吹什么意思,Other,,美的,空调,,防直吹：一键开启防直吹后，自动调节风速、频率、导风角度，防止冷/热风直吹人；创新的出风口切角设计，相对普通挂机，防直吹效果更好~,,,,silicon_valley
防直吹 什么意思,Other,,美的,空调,,防直吹：一键开启防直吹后，自动调节风速、频率、导风角度，防止冷/热风直吹人；创新的出风口切角设计，相对普通挂机，防直吹效果更好~,,,,silicon_valley
防直吹什么意思呢,Other,,美的,空调,,防直吹：一键开启防直吹后，自动调节风速、频率、导风角度，防止冷/热风直吹人；创新的出风口切角设计，相对普通挂机，防直吹效果更好~,,,,silicon_valley
防直吹就是不吹到人身上是吗,Other,,美的,空调,,防直吹：一键开启防直吹后，自动调节风速、频率、导风角度，防止冷/热风直吹人；创新的出风口切角设计，相对普通挂机，防直吹效果更好~,,,,silicon_valley
光线感应是什么意思呢,智能光敏光敏传感,,美的,空调,,7秒光感是光敏传感自动感知，晚上关灯后，显示屏自动关闭，营造舒适睡眠环境~,,,,silicon_valley
光感应啥意思,智能光敏光敏传感,,美的,空调,,7秒光感是光敏传感自动感知，晚上关灯后，显示屏自动关闭，营造舒适睡眠环境~,,,,silicon_valley
7秒光感是什么,智能光敏光敏传感,,美的,空调,,7秒光感是光敏传感自动感知，晚上关灯后，显示屏自动关闭，营造舒适睡眠环境~,,,,silicon_valley
什么是光敏传感,智能光敏光敏传感,,美的,空调,,7秒光感是光敏传感自动感知，晚上关灯后，显示屏自动关闭，营造舒适睡眠环境~,,,,silicon_valley
那个光线感应 如果晚上睡觉点一盏小夜灯 光线感应会怎么样,智能光敏光敏传感,,美的,空调,,7秒光感是光敏传感自动感知，晚上关灯后，显示屏自动关闭，营造舒适睡眠环境~,,,,silicon_valley
乡镇也给安装吗,区木兰乡安装,,美的,空调,,"亲,我们是全国安装无盲区的,只要能成功下单配送的都是可以安装的哦,亲亲放心下单",,,,silicon_valley
村镇上门安装吗,区木兰乡安装,,美的,空调,,"亲,我们是全国安装无盲区的,只要能成功下单配送的都是可以安装的哦,亲亲放心下单",,,,silicon_valley
那我们农村可以直接什么服务安装吗,区木兰乡安装,,美的,空调,,"亲,我们是全国安装无盲区的,只要能成功下单配送的都是可以安装的哦,亲亲放心下单",,,,silicon_valley
空调负责安装吗,区木兰乡安装,,美的,空调,,"亲,我们是全国安装无盲区的,只要能成功下单配送的都是可以安装的哦,亲亲放心下单",,,,silicon_valley
在农村家里可以安装吗,区木兰乡安装,,美的,空调,,"亲,我们是全国安装无盲区的,只要能成功下单配送的都是可以安装的哦,亲亲放心下单",,,,silicon_valley
今天下单 明天能送到吗,发货,,美的,空调,,京东商城是自有物流的，只要您成功下单后，京东物流会尽快给您安排的，正常1-2天就可以到货的，县级或乡镇需要3-5天！具体详情也可查看订单的到货时间说明以实际到货为准哦。麻烦您耐心等待下,,,,silicon_valley
大概什么时候能发货,发货,,美的,空调,,"京东自营商品若有现货一般是下单成功后会及时发货，第三方商家的商品一般是48小时内发货，促销活动高峰时期订单量增多,可能会导致发货延迟，给您带来的不便还请您谅解。",,,,silicon_valley
下单后什么时候到货 什么时候安装,到货安装,,美的,空调,,送货师傅与安装师傅是两拨不同的人，一般是到货后第二天安装的,,,,silicon_valley
什么时候可以送到,送到,,美的,空调,,亲，以下单显示为准的哦,,,,silicon_valley
电子膨胀阀有什么区别呢,Other,,美的,空调,,电子膨胀阀的好处：采用电子膨胀阀空调系统的制冷量和能效比要比采用毛细管的变频空调系统高20%以上，平均要比采用毛细管的系统高10% ~~,,,,silicon_valley
电子膨胀阀的好处是什么,Other,,美的,空调,,电子膨胀阀的好处：采用电子膨胀阀空调系统的制冷量和能效比要比采用毛细管的变频空调系统高20%以上，平均要比采用毛细管的系统高10% ~~,,,,silicon_valley
电子膨胀阀是什么,Other,,美的,空调,,电子膨胀阀的好处：采用电子膨胀阀空调系统的制冷量和能效比要比采用毛细管的变频空调系统高20%以上，平均要比采用毛细管的系统高10% ~~,,,,silicon_valley
电子膨胀阀是管什么用的,Other,,美的,空调,,电子膨胀阀的好处：采用电子膨胀阀空调系统的制冷量和能效比要比采用毛细管的变频空调系统高20%以上，平均要比采用毛细管的系统高10% ~~,,,,silicon_valley
那电子膨胀阀呢,Other,,美的,空调,,电子膨胀阀的好处：采用电子膨胀阀空调系统的制冷量和能效比要比采用毛细管的变频空调系统高20%以上，平均要比采用毛细管的系统高10% ~~,,,,silicon_valley
电子膨胀阀主要起什么作用啊,Other,,美的,空调,,电子膨胀阀的好处：采用电子膨胀阀空调系统的制冷量和能效比要比采用毛细管的变频空调系统高20%以上，平均要比采用毛细管的系统高10% ~~,,,,silicon_valley
电子膨胀阀什么作用,Other,,美的,空调,,电子膨胀阀的好处：采用电子膨胀阀空调系统的制冷量和能效比要比采用毛细管的变频空调系统高20%以上，平均要比采用毛细管的系统高10% ~~,,,,silicon_valley
有膨胀阀的才好 对吧,Other,,美的,空调,,电子膨胀阀的好处：采用电子膨胀阀空调系统的制冷量和能效比要比采用毛细管的变频空调系统高20%以上，平均要比采用毛细管的系统高10% ~~,,,,silicon_valley
电子膨胀阀是直流吗,Other,,美的,空调,,电子膨胀阀的好处：采用电子膨胀阀空调系统的制冷量和能效比要比采用毛细管的变频空调系统高20%以上，平均要比采用毛细管的系统高10% ~~,,,,silicon_valley
电子膨胀阀有什么好处,Other,,美的,空调,,电子膨胀阀的好处：采用电子膨胀阀空调系统的制冷量和能效比要比采用毛细管的变频空调系统高20%以上，平均要比采用毛细管的系统高10% ~~,,,,silicon_valley
0元安装是不是什么都是免费的,安装费用,,美的,空调,,“0元安装”服务对象：  1、参与0元安装服务对象：凡在京东商城购买的自营空调，由京东自营安装，地址为家庭住址用户；  2、不参与0元安装服务对象：大客户、工程机、商用机、批发、办公室、厂房或商铺等经营性场所；,,,,silicon_valley
0元安装 是不要安装费,安装费用,,美的,空调,,“0元安装”服务对象：  1、参与0元安装服务对象：凡在京东商城购买的自营空调，由京东自营安装，地址为家庭住址用户；  2、不参与0元安装服务对象：大客户、工程机、商用机、批发、办公室、厂房或商铺等经营性场所；,,,,silicon_valley
现在0元安装吗,安装费用,,美的,空调,,“0元安装”服务对象：  1、参与0元安装服务对象：凡在京东商城购买的自营空调，由京东自营安装，地址为家庭住址用户；  2、不参与0元安装服务对象：大客户、工程机、商用机、批发、办公室、厂房或商铺等经营性场所；,,,,silicon_valley
0 元安装什么意思,安装费用,,美的,空调,,“0元安装”服务对象：  1、参与0元安装服务对象：凡在京东商城购买的自营空调，由京东自营安装，地址为家庭住址用户；  2、不参与0元安装服务对象：大客户、工程机、商用机、批发、办公室、厂房或商铺等经营性场所；,,,,silicon_valley
0元标准,安装费用,,美的,空调,,“0元安装”服务对象：  1、参与0元安装服务对象：凡在京东商城购买的自营空调，由京东自营安装，地址为家庭住址用户；  2、不参与0元安装服务对象：大客户、工程机、商用机、批发、办公室、厂房或商铺等经营性场所；,,,,silicon_valley
不是有0元安装服务吗,安装费用,,美的,空调,,“0元安装”服务对象：  1、参与0元安装服务对象：凡在京东商城购买的自营空调，由京东自营安装，地址为家庭住址用户；  2、不参与0元安装服务对象：大客户、工程机、商用机、批发、办公室、厂房或商铺等经营性场所；,,,,silicon_valley
"今天下单,什么时候可以装上",写京东京东安装,,美的,空调,,"一般是到货的第二天安装的,是京东配送,美的安装的哦,两拨人的",,,,silicon_valley
我想问问 如果今天买什么时候可以安装,写京东京东安装,,美的,空调,,"一般是到货的第二天安装的,是京东配送,美的安装的哦,两拨人的",,,,silicon_valley
"空调已收到,什么时候来装啊?",写京东京东安装,,美的,空调,,"一般是到货的第二天安装的,是京东配送,美的安装的哦,两拨人的",,,,silicon_valley
江苏盐城农村的一般现在订货要什么时间能装,写京东京东安装,,美的,空调,,"一般是到货的第二天安装的,是京东配送,美的安装的哦,两拨人的",,,,silicon_valley
我今天买的话多久可以安装,写京东京东安装,,美的,空调,,"一般是到货的第二天安装的,是京东配送,美的安装的哦,两拨人的",,,,silicon_valley
显示有货 什么时候能安装,写京东京东安装,,美的,空调,,"一般是到货的第二天安装的,是京东配送,美的安装的哦,两拨人的",,,,silicon_valley
一级 二级 什么区别,能耗区别,,美的,空调,,"空调器能效等级: 依据空调器能效比的大小确定,分成1、2、3三个等级,1级表示能效最高。表示空调器能效高低差别的一种划分能效等级方法。 能效等级数组越小,能效等级越高,空调在取得相同的制冷效果情况下的耗电量越小,也就是通常所说的越省电。",,,,silicon_valley
一级能效和二级有什么区别,能耗区别,,美的,空调,,"空调器能效等级: 依据空调器能效比的大小确定,分成1、2、3三个等级,1级表示能效最高。表示空调器能效高低差别的一种划分能效等级方法。 能效等级数组越小,能效等级越高,空调在取得相同的制冷效果情况下的耗电量越小,也就是通常所说的越省电。",,,,silicon_valley
想咨询一下一级能效和二级有什么区别,能耗区别,,美的,空调,,"空调器能效等级: 依据空调器能效比的大小确定,分成1、2、3三个等级,1级表示能效最高。表示空调器能效高低差别的一种划分能效等级方法。 能效等级数组越小,能效等级越高,空调在取得相同的制冷效果情况下的耗电量越小,也就是通常所说的越省电。",,,,silicon_valley
我昨天下单 怎么还没发货,发货,,美的,空调,,"因为我们是厂家的客服,所以看不到京东的订货单，美的的商品都是京东的自营产品，货物都是京东送货的呢，不好意思哈，建议您联系下京东的在线客服，",,,,silicon_valley
从哪里发货,发货,,美的,空调,,都是您就近的京东仓库发货的哦,,,,silicon_valley
你们是从哪里发货,发货,,美的,空调,,都是您就近的京东仓库发货的哦,,,,silicon_valley
哪里发货,发货,,美的,空调,,都是您就近的京东仓库发货的哦,,,,silicon_valley
是0元安装对吧,Other,,美的,空调,,“0元安装”是仅限首次安装的，出现二次安装的情况，按正常收费标准收费哦~~,,,,silicon_valley
什么时候发货 什么时候安装,发货安装,,美的,空调,,具体是按您下单成功后页面显示的时间为准哦,,,,silicon_valley
我的货发了吗 什么时候到,我的货,,美的,空调,,咨询京东亲,,,,silicon_valley
为什么显示的是普通快递没有加急的吗,淮南市送到,,美的,空调,,一般都是京东商城的物流为您配送的呢，物流配送不到的地方是会转第三方快递公司配送的呢，具体您也可以提交下订单试下，会有提示的。,,,,silicon_valley
刚才下单了怎么不是京东配送啊,淮南市送到,,美的,空调,,一般都是京东商城的物流为您配送的呢，物流配送不到的地方是会转第三方快递公司配送的呢，具体您也可以提交下订单试下，会有提示的。,,,,silicon_valley
旧机回收吗,旧机回收,,美的,空调,,以旧换新：目前北京 天津 上海 重庆 安徽 福建 广东 广西 海南 河北 河南 湖北 湖南 黑龙江 吉林 辽宁 江苏 江西 山东 山西 陕西 四川 浙江 甘肃 内蒙古 新疆 贵州 宁夏 青海 云南 支持以旧换新的哦，其他城区暂时没有开通的，,,,,silicon_valley
包安装的吗,安装费用,,美的,空调,,亲爱哒，我们包配送~包安装~~免手工费~免运送费~产品帮您送到家~新机普通安装是免费的，如果需要额外的材料或特殊安装条件时才需要收费的哦~您收到货后24小时内会有安装师傅主动联系您预约安装的,,,,silicon_valley
什么时间到货 什么时间安装,到货安装,,美的,空调,,订单里有显示送货和安装时间的亲      显示时间就是最快时间的                送货安装会有人打电话联系您的,,,,silicon_valley
今天下单啥时候能送到,到货安装,,美的,空调,,订单里有显示送货和安装时间的亲      显示时间就是最快时间的                送货安装会有人打电话联系您的,,,,silicon_valley
怎么退款,退货重,,美的,空调,,现金1-3个工作日到京东余额，微信零钱1-3个工作日退回，白条24H内恢复额度（如您已经还款，3-5个工作日退回到您还白条的银行卡中），信用卡1-15个工作日，储蓄卡1-7个工作日哟~,,,,silicon_valley
如果有质量问题 怎么办,到货,,美的,空调,,咱们京东自营，全国包修六年，价保30天，京东承诺您：30天内产品出现质量问题可退货，180天内产品出现质量问题可换货，，请您放心购买。,,,,silicon_valley
怎么安装 什么时间给安装,安装费用,,美的,空调,,一般是货到后第二天安装师傅上门联系安装呢！！！,,,,silicon_valley
售后电话多少,售后,,美的,空调,,详情请微信关注“美的服务”公众号 咨询在线售后客服哦,,,,silicon_valley
几天能到货 当天安装吗,下单安装,,美的,空调,,您提交订单后 下面会显示到货时间的哦,,,,silicon_valley
手机怎控制,wifi控制,,美的,空调,,智能在有WIFI的情况下，您可以用手机下载美居ＡＰＰ连接实现远程操作，随时随地的操控空调，再也不用担心在外忘记关空调呢~,,,,silicon_valley
手机操作,wifi控制,,美的,空调,,智能在有WIFI的情况下，您可以用手机下载美居ＡＰＰ连接实现远程操作，随时随地的操控空调，再也不用担心在外忘记关空调呢~,,,,silicon_valley
怎么连接网络,wifi控制,,美的,空调,,智能在有WIFI的情况下，您可以用手机下载美居ＡＰＰ连接实现远程操作，随时随地的操控空调，再也不用担心在外忘记关空调呢~,,,,silicon_valley
可以用手机远程关闭吗,wifi控制,,美的,空调,,智能在有WIFI的情况下，您可以用手机下载美居ＡＰＰ连接实现远程操作，随时随地的操控空调，再也不用担心在外忘记关空调呢~,,,,silicon_valley
下载哪个app,wifi控制,,美的,空调,,智能在有WIFI的情况下，您可以用手机下载美居ＡＰＰ连接实现远程操作，随时随地的操控空调，再也不用担心在外忘记关空调呢~,,,,silicon_valley
手机怎么遥控,wifi控制,,美的,空调,,智能在有WIFI的情况下，您可以用手机下载美居ＡＰＰ连接实现远程操作，随时随地的操控空调，再也不用担心在外忘记关空调呢~,,,,silicon_valley
远程开空调的app是什么,wifi控制,,美的,空调,,智能在有WIFI的情况下，您可以用手机下载美居ＡＰＰ连接实现远程操作，随时随地的操控空调，再也不用担心在外忘记关空调呢~,,,,silicon_valley
怎么样wifi才能控制,wifi控制,,美的,空调,,智能在有WIFI的情况下，您可以用手机下载美居ＡＰＰ连接实现远程操作，随时随地的操控空调，再也不用担心在外忘记关空调呢~,,,,silicon_valley
美的空调怎么用手机控制,wifi控制,,美的,空调,,智能在有WIFI的情况下，您可以用手机下载美居ＡＰＰ连接实现远程操作，随时随地的操控空调，再也不用担心在外忘记关空调呢~,,,,silicon_valley
怎么远程操作空调 空调需要联网吗,wifi控制,,美的,空调,,智能在有WIFI的情况下，您可以用手机下载美居ＡＰＰ连接实现远程操作，随时随地的操控空调，再也不用担心在外忘记关空调呢~,,,,silicon_valley
wifi 是在外面能 手机控制开空调,wifi控制,,美的,空调,,智能在有WIFI的情况下，您可以用手机下载美居ＡＰＰ连接实现远程操作，随时随地的操控空调，再也不用担心在外忘记关空调呢~,,,,silicon_valley
手机远程控制 使用的哪个软件啊,wifi控制,,美的,空调,,智能在有WIFI的情况下，您可以用手机下载美居ＡＰＰ连接实现远程操作，随时随地的操控空调，再也不用担心在外忘记关空调呢~,,,,silicon_valley
